doc_id,stock_code,stock_name,market,announcement_title,announcement_type,publish_date,url,pdf_url,local_pdf_path,download_status,source,crawl_time,error_message,notes
688506__e0e03a66,688506,百利天恒,sh,四川百利天恒药业股份有限公司关于以集中竞价交易方式回购股份的预案,方案公告,,http://www.cninfo.com.cn/new/disclosure/detail?plate=&orgId=9900024957&stockCode=688506&announcementId=1224910835,http://static.cninfo.com.cn/finalpage/2025-12-31/1224910835.PDF,,pending,cninfo,2026-06-11 20:36:24,,
603529__f00336b1,603529,爱玛科技,sh,爱玛科技关于调整2024年限制性股票激励计划回购价格的公告,其他,,http://www.cninfo.com.cn/new/disclosure/detail?plate=&orgId=9900037312&stockCode=603529&announcementId=1224908619,http://static.cninfo.com.cn/finalpage/2025-12-31/1224908619.PDF,,pending,cninfo,2026-06-11 20:36:26,,
603529__45e50c66,603529,爱玛科技,sh,爱玛科技关于回购注销2024年限制性股票激励计划部分限制性股票的公告,其他,,http://www.cninfo.com.cn/new/disclosure/detail?plate=&orgId=9900037312&stockCode=603529&announcementId=1224908591,http://static.cninfo.com.cn/finalpage/2025-12-31/1224908591.PDF,,pending,cninfo,2026-06-11 20:36:26,,
603529__ab10f016,603529,爱玛科技,sh,北京海润天睿律师事务所关于爱玛科技2024年限制性股票激励计划调整回购价格及回购注销部分限制性股票的法律意见书,其他,,http://www.cninfo.com.cn/new/disclosure/detail?plate=&orgId=9900037312&stockCode=603529&announcementId=1224908590,http://static.cninfo.com.cn/finalpage/2025-12-31/1224908590.PDF,,pending,cninfo,2026-06-11 20:36:26,,
603529__10a10836,603529,爱玛科技,sh,爱玛科技关于回购注销2024年限制性股票激励计划部分限制性股票通知债权人的公告,其他,,http://www.cninfo.com.cn/new/disclosure/detail?plate=&orgId=9900037312&stockCode=603529&announcementId=1224908589,http://static.cninfo.com.cn/finalpage/2025-12-31/1224908589.PDF,,pending,cninfo,2026-06-11 20:36:26,,
002119__5bad744a,002119,康强电子,sz,关于回购公司股份比例达到1%及实施完成暨股份变动公告,结果公告,,http://www.cninfo.com.cn/new/disclosure/detail?plate=&orgId=9900002188&stockCode=002119&announcementId=1224898197,http://static.cninfo.com.cn/finalpage/2025-12-26/1224898197.PDF,,pending,cninfo,2026-06-11 20:36:32,,
600519__7ff745d9,600519,贵州茅台,sh,贵州茅台关于以集中竞价交易方式回购公司股份的回购报告书,其他,,http://www.cninfo.com.cn/new/disclosure/detail?plate=&orgId=gssh0600519&stockCode=600519&announcementId=1224896537,http://static.cninfo.com.cn/finalpage/2025-12-25/1224896537.PDF,,pending,cninfo,2026-06-11 20:36:32,,
600519__c3678230,600519,贵州茅台,sh,贵州茅台关于实施2025年中期权益分派后调整回购股份价格上限的公告,其他,,http://www.cninfo.com.cn/new/disclosure/detail?plate=&orgId=gssh0600519&stockCode=600519&announcementId=1224896531,http://static.cninfo.com.cn/finalpage/2025-12-25/1224896531.PDF,,pending,cninfo,2026-06-11 20:36:32,,
000063__f7fa4075,000063,中兴通讯,sz,关于回购股份事项前十名股东和前十名无限售条件股东持股情况的公告,其他,,http://www.cninfo.com.cn/new/disclosure/detail?plate=&orgId=gssz0000063&stockCode=000063&announcementId=1224884964,http://static.cninfo.com.cn/finalpage/2025-12-19/1224884964.PDF,,pending,cninfo,2026-06-11 20:36:41,,
601899__bbd3ef10,601899,紫金矿业,sh,紫金矿业集团股份有限公司股权激励限制性股票回购注销实施公告,其他,,http://www.cninfo.com.cn/new/disclosure/detail?plate=&orgId=9900004143&stockCode=601899&announcementId=1224877975,http://static.cninfo.com.cn/finalpage/2025-12-16/1224877975.PDF,,pending,cninfo,2026-06-11 20:36:46,,
02899__1d228e3c,02899,紫金矿业,sz,股权激励A股限制性股票回购注销实施公告,其他,,http://www.cninfo.com.cn/new/disclosure/detail?plate=&orgId=9900004143&stockCode=02899&announcementId=1224878699,http://static.cninfo.com.cn/finalpage/2025-12-15/1224878699.PDF,,pending,cninfo,2026-06-11 20:36:46,,
00763__81465f11,00763,中兴通讯,sz,关於回购公司A股股份方案的公告暨回购报告书,方案公告,,http://www.cninfo.com.cn/new/disclosure/detail?plate=&orgId=gssz0000063&stockCode=00763&announcementId=1224870702,http://static.cninfo.com.cn/finalpage/2025-12-12/1224870702.PDF,,pending,cninfo,2026-06-11 20:36:47,,
000063__73520f75,000063,中兴通讯,sz,关于回购公司A股股份方案的公告暨回购报告书,方案公告,,http://www.cninfo.com.cn/new/disclosure/detail?plate=&orgId=gssz0000063&stockCode=000063&announcementId=1224870689,http://static.cninfo.com.cn/finalpage/2025-12-12/1224870689.PDF,,pending,cninfo,2026-06-11 20:36:47,,
002352__f16a9ddb,002352,顺丰控股,sz,关于回购公司A股股份的进展公告,进展公告,,http://www.cninfo.com.cn/new/disclosure/detail?plate=&orgId=9900010448&stockCode=002352&announcementId=1224869283,http://static.cninfo.com.cn/finalpage/2025-12-12/1224869283.PDF,,pending,cninfo,2026-06-11 20:36:49,,
06936__08d81b4e,06936,顺丰控股,sz,海外监管公告 - 关於回购公司A股股份的进展公告,进展公告,,http://www.cninfo.com.cn/new/disclosure/detail?plate=&orgId=9900010448&stockCode=06936&announcementId=1224870445,http://static.cninfo.com.cn/finalpage/2025-12-11/1224870445.PDF,,pending,cninfo,2026-06-11 20:36:49,,
